"family_id","dt","steps","motion"
"1754522349452","2025-10-24","21",
"80:6F:B0:7B:7B:91","2025-10-24","0","831960462340"
"F1C29798857","2025-04-18","1137","11"
"F1C45424538","2025-04-21","1717199000","26646"
"F1C45424538","2025-04-22","28133332699","73094"
"F1C45424538","2025-04-23","52820260896","71359"
"F1C45424538","2025-04-24","580722616","49613"
"F1C45424538","2025-04-25","83409199856","57105"
"F1C45424538","2025-04-26","107764823438","109603"
"F1C45424538","2025-04-27","17166211221","92969"
"F1C45424538","2025-04-28","57398208787","94347"
"F1C45424538","2025-04-29","92830942323","75890"
"F1C45424538","2025-04-30","141535819339","82605"
"F1C45424538","2025-05-01","85703569469","96117"
"F1C45424538","2025-05-02","19000048785","72877"
"F1C45424538","2025-05-03","46789158702","89351"
"F1C45424538","2025-05-04","93426885726","91618"
"F1C45424538","2025-05-05","11081987030","97786"
"F1C45424538","2025-05-06","200034907291","96304"
"F1C45424538","2025-05-07","67601701080","78073"
"F1C45424538","2025-05-08","37985740261","71200"
"F1C45424538","2025-05-09","45813529389","55014"
"F1C45424538","2025-05-10","63997356369","90021"
"F1C45424538","2025-05-11","116002573795","87268"
"F1C45424538","2025-05-12","180924411729","98767"
"F1C45424538","2025-05-13","163782158678","90876"
"F1C45424538","2025-05-14","30240686722","108889"
"F1C45424538","2025-05-15","71487000315","76918"
"F1C45424538","2025-05-16","473019559","79165"
"F1C45424538","2025-05-17","31307618436","125869"
"F1C45424538","2025-05-18","157845035846","61904"
"F1C45424538","2025-05-19","118326248920","88295"
"F1C45424538","2025-05-20","17822183851","72820"
"F1C45424538","2025-05-21","22055501886","43155"
"F1C45424538","2025-05-26","1793706726","378"
"F1C45424538","2025-05-27","75031624723","25309"
"F1C45424538","2025-05-28","72210448042","24914"
"F1C45424538","2025-05-29","94394654186","20609"
"F1C45424538","2025-05-30","79228860324","25631"
"F1C45424538","2025-05-31","79831856544","18994"
"F1C45424538","2025-06-01","90262986660","21872"
"F1C45424538","2025-06-02","55745035830","17093"
"F1C45424538","2025-06-03","2472311774","27982"
"F1C45424538","2025-06-04","101654672534","33468"
"F1C45424538","2025-06-05","144710474375","69252"
"F1C45424538","2025-06-06","117455859308","66867"
"F1C45424538","2025-06-07","41501917258","66157"
"F1C45424538","2025-06-08","33497154731","79978"
"F1C45424538","2025-06-09","109196487554","81679"
"F1C45424538","2025-06-10","100684926588","81186"
"F1C45424538","2025-06-11","105761439803","60959"
"F1C45424538","2025-06-12","94751249584","55497"
"F1C45424538","2025-06-13","17925421242","43239"
